,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,4,0.6119,0.1126,4,0.6945,0.2073,4,0.6833,0.2219,4,0.0,0.0,4,3.0,0.0,4,0.0863,0.0576,4,0.0,0.0,4,108.1119,58.8027,4,0.8191,0.026,4,0.2712,0.0262,4,0.0148,0.0043,4,3.0,0.0,4,0.5055,0.0519,4,0.2378,0.0265,4,0.7903,0.0632,4,0.2564,0.0263,4
4,0.0,0.0,3,0.5704,0.0907,3,0.5996,0.1376,3,0.5778,0.0839,3,0.0,0.0,3,3.0,0.0,3,0.0602,0.0585,3,0.0,0.0,3,133.9889,127.8553,3,0.8145,0.0176,3,0.2589,0.0222,3,0.0112,0.0076,3,3.0,0.0,3,0.4854,0.0446,3,0.233,0.0231,3,0.7971,0.0295,3,0.2456,0.0126,3
5,0.0,0.0,2,0.6266,0.1469,2,0.6885,0.2344,2,0.5833,0.1179,2,0.0,0.0,2,3.0,0.0,2,0.0859,0.0263,2,0.0,0.0,2,58.198,17.0138,2,0.82,0.0173,2,0.2691,0.006,2,0.0108,0.0061,2,3.0,0.0,2,0.4973,0.0449,2,0.2351,0.0372,2,0.8282,0.0822,2,0.257,0.0038,2
7,0.0,0.0,3,0.5896,0.1041,3,0.6443,0.146,3,0.6333,0.0577,3,0.0,0.0,3,3.0,0.0,3,0.034,0.0295,3,0.0,0.0,3,225.8299,289.0963,3,0.8241,0.0173,3,0.2612,0.0089,3,0.0087,0.0073,3,3.0,0.0,3,0.4883,0.0421,3,0.2327,0.031,3,0.7903,0.0695,3,0.2508,0.0043,3
8,0.0,,1,0.5939,,1,0.6833,,1,0.6667,,1,0.0,,1,3.0,,1,0.0556,,1,0.0,,1,254.0167,,1,0.833,,1,0.2783,,1,0.0323,,1,3.0,,1,0.5087,,1,0.2352,,1,0.8209,,1,0.2521,,1
9,0.0,,1,0.7619,,1,0.8667,,1,0.8333,,1,0.0,,1,3.0,,1,0.1316,,1,0.0,,1,105.7641,,1,0.8302,,1,0.2806,,1,0.0167,,1,3.0,,1,0.5411,,1,0.2629,,1,0.8387,,1,0.2672,,1
10,0.0,,1,0.6018,,1,0.697,,1,0.8333,,1,0.0,,1,3.0,,1,0.0556,,1,0.0,,1,1195.4506,,1,0.825,,1,0.2733,,1,0.032,,1,3.0,,1,0.511,,1,0.2418,,1,0.8232,,1,0.2496,,1
12,0.0,0.0,2,0.701,0.1518,2,0.8445,0.22,2,0.5833,0.1179,2,0.0,0.0,2,3.0,0.0,2,0.0718,0.1015,2,0.0,0.0,2,322.2231,374.1023,2,0.8335,0.0171,2,0.2716,0.0318,2,0.0058,0.0051,2,3.0,0.0,2,0.5188,0.0353,2,0.2497,0.0033,2,0.8199,0.0149,2,0.2646,0.026,2
14,0.0,0.0,4,0.6583,0.1108,4,0.7489,0.2147,4,0.5833,0.0962,4,0.0,0.0,4,3.0,0.0,4,0.079,0.026,4,0.0,0.0,4,83.1955,34.2955,4,0.8203,0.0141,4,0.2685,0.011,4,0.0101,0.0141,4,3.0,0.0,4,0.506,0.0338,4,0.2413,0.0205,4,0.808,0.0258,4,0.2603,0.012,4
