,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.1111,0.1925,3,0.6998,0.1233,3,0.7143,0.1763,3,0.7222,0.2546,3,0.3333,0.5774,3,3.0,0.0,3,0.0606,0.0296,3,0.0,0.0,3,92.6952,26.1516,3,0.8027,0.022,3,0.8073,0.0219,3,0.0129,0.0072,3,3.0,0.0,3,0.8648,0.0168,3,0.0632,0.0087,3,0.9639,0.0191,3,0.7903,0.0302,3
3,0.0,0.0,2,0.5551,0.1749,2,0.5519,0.2882,2,0.75,0.1179,2,0.0,0.0,2,3.0,0.0,2,0.0141,0.0199,2,0.0,0.0,2,190.1865,183.2592,2,0.8231,0.0334,2,0.8522,0.0937,2,0.0128,0.0159,2,3.0,0.0,2,0.8756,0.0492,2,0.0394,0.0391,2,0.9424,0.031,2,0.8268,0.0931,2
4,0.0,0.0,3,0.6271,0.0772,3,0.7107,0.1197,3,0.8889,0.1925,3,0.0,0.0,3,3.0,0.0,3,0.0587,0.0657,3,0.0,0.0,3,115.7942,83.6507,3,0.8279,0.0203,3,0.8353,0.0154,3,0.0188,0.0173,3,3.0,0.0,3,0.8791,0.0145,3,0.0525,0.0086,3,0.9595,0.0155,3,0.8089,0.0381,3
5,0.0,,1,0.7765,,1,0.8667,,1,0.6667,,1,0.0,,1,3.0,,1,0.0931,,1,0.0,,1,103.6692,,1,0.8303,,1,0.8379,,1,0.0231,,1,3.0,,1,0.8814,,1,0.056,,1,0.9861,,1,0.8079,,1
7,0.0,0.0,10,0.6783,0.0918,10,0.7518,0.1396,10,0.75,0.18,10,0.0,0.0,10,3.0,0.0,10,0.0527,0.0569,10,0.0,0.0,10,213.707,144.8347,10,0.8154,0.021,10,0.8273,0.0205,10,0.0146,0.0092,10,3.0,0.0,10,0.8711,0.0144,10,0.0503,0.0095,10,0.9474,0.0179,10,0.811,0.0266,10
10,0.0417,0.1179,8,0.685,0.069,8,0.7634,0.1179,8,0.7083,0.1725,8,0.125,0.3536,8,3.0,0.0,8,0.0537,0.0374,8,0.0,0.0,8,236.2119,206.0211,8,0.8198,0.0191,8,0.8333,0.0182,8,0.0127,0.0086,8,3.0,0.0,8,0.8735,0.0092,8,0.0478,0.0122,8,0.952,0.023,8,0.8174,0.0181,8
14,0.0,,1,0.7908,,1,0.881,,1,0.5,,1,0.0,,1,3.0,,1,0.0238,,1,0.0,,1,279.6459,,1,0.8434,,1,0.8635,,1,0.0057,,1,3.0,,1,0.8942,,1,0.0315,,1,0.9363,,1,0.8592,,1
16,0.0,0.0,4,0.7012,0.0133,4,0.7895,0.0458,4,0.7083,0.25,4,0.0,0.0,4,3.0,0.0,4,0.0593,0.0692,4,0.0,0.0,4,88.4283,52.7243,4,0.7951,0.0306,4,0.7951,0.0327,4,0.0154,0.015,4,3.0,0.0,4,0.8577,0.022,4,0.0684,0.0171,4,0.9614,0.0146,4,0.7769,0.0481,4
17,0.0,0.0,5,0.6724,0.0833,5,0.7626,0.1283,5,0.7,0.2739,5,0.0,0.0,5,3.0,0.0,5,0.0368,0.0381,5,0.0,0.0,5,208.6821,85.0251,5,0.8199,0.0141,5,0.8353,0.0242,5,0.014,0.0057,5,3.0,0.0,5,0.8724,0.0238,5,0.0456,0.0092,5,0.9499,0.0227,5,0.8183,0.0297,5
