,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,3,0.5499,0.2679,3,0.5718,0.4492,3,0.6194,0.1042,3,0.0,0.0,3,4.0,1.7321,3,0.0584,0.0529,3,0.0,0.0,3,54.7551,7.7354,3,0.788,0.0135,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.1568,0.081,3,0.1687,0.0705,3,0.397,0.104,3,0.0,0.0,3
3,0.0,0.0,8,0.5482,0.2365,8,0.5905,0.3285,8,0.6542,0.1808,8,0.0,0.0,8,4.5,1.6036,8,0.0483,0.0478,8,0.0009,0.0019,8,99.1878,46.4578,8,0.8012,0.0159,8,0.0009,0.0019,8,0.002,0.0043,8,4.5,1.6036,8,0.2082,0.1003,8,0.2321,0.0943,8,0.5657,0.2104,8,0.0,0.0,8
4,0.0,0.0,8,0.6037,0.2193,8,0.6533,0.3172,8,0.7646,0.1807,8,0.0,0.0,8,4.5,1.6036,8,0.0631,0.0523,7,0.0007,0.0021,8,255.4323,211.1771,7,0.8109,0.0156,7,0.0007,0.0021,8,0.0017,0.0047,8,4.5,1.6036,8,0.2376,0.0852,8,0.2573,0.0784,8,0.6202,0.181,8,0.0,0.0,8
7,0.0,0.0,2,0.5274,0.2176,2,0.5093,0.3373,2,0.95,0.0707,2,0.0,0.0,2,4.5,2.1213,2,0.121,0.031,2,0.0,0.0,2,135.9033,131.3698,2,0.8344,0.0111,2,0.0,0.0,2,0.0,0.0,2,4.5,2.1213,2,0.1915,0.0932,2,0.2153,0.0975,2,0.5968,0.205,2,0.0,0.0,2
8,0.0,0.0,3,0.6154,0.2264,3,0.6778,0.3719,3,0.6556,0.1503,3,0.0,0.0,3,4.0,1.7321,3,0.0644,0.0372,3,0.0,0.0,3,112.9335,57.2898,3,0.8164,0.0132,3,0.0,0.0,3,0.0,0.0,3,4.0,1.7321,3,0.2261,0.0936,3,0.247,0.0625,3,0.6195,0.0641,3,0.0,0.0,3
11,0.0,,1,0.4419,,1,0.3871,,1,0.725,,1,0.0,,1,6.0,,1,0.1303,,1,0.0,,1,40.5391,,1,0.8299,,1,0.0,,1,0.0,,1,6.0,,1,0.1327,,1,0.1748,,1,0.5555,,1,0.0,,1
12,0.0,0.0,7,0.5599,0.187,7,0.5978,0.3181,7,0.75,0.2406,7,0.0,0.0,7,4.7143,1.6036,7,0.0854,0.046,6,0.0,0.0,7,219.0564,188.3385,6,0.8202,0.0109,6,0.0,0.0,7,0.0,0.0,7,4.7143,1.6036,7,0.223,0.0902,7,0.2517,0.0768,7,0.6244,0.1917,7,0.0,0.0,7
13,0.0,0.0,4,0.6162,0.1859,4,0.7089,0.2594,4,0.675,0.2283,4,0.0,0.0,4,4.5,1.7321,4,0.0563,0.0434,4,0.0,0.0,4,280.802,142.2827,4,0.8123,0.0097,4,0.0,0.0,4,0.0,0.0,4,4.5,1.7321,4,0.2484,0.0835,4,0.2871,0.076,4,0.6919,0.1927,4,0.0,0.0,4
14,0.0,0.0,8,0.5651,0.2025,8,0.6071,0.2437,8,0.8042,0.2083,8,0.0,0.0,8,4.5,1.6036,8,0.0505,0.0611,8,0.0,0.0,8,466.2273,359.6536,8,0.8201,0.019,8,0.0,0.0,8,0.0,0.0,8,4.5,1.6036,8,0.2181,0.0803,8,0.2662,0.048,8,0.6618,0.1097,8,0.0,0.0,8
