,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,,1,0.5589,,1,0.6422,,1,0.5,,1,0.0,,1,3.0,,1,0.0461,,1,0.0,,1,59.7083,,1,0.7944,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
3,0.0,0.0,6,0.5773,0.1346,6,0.5903,0.1834,6,0.6444,0.121,6,0.0,0.0,6,5.0,1.5492,6,0.0529,0.0293,6,0.0,0.0,6,114.0316,109.1521,6,0.8049,0.0181,6,0.0,0.0,6,0.0,0.0,6,5.0,1.5492,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6
4,0.0,0.0,11,0.56,0.1363,11,0.5948,0.1917,11,0.6758,0.1868,11,0.0,0.0,11,5.4545,1.2136,11,0.0525,0.03,11,0.0,0.0,11,155.4775,104.2064,11,0.8098,0.0109,11,0.0,0.0,11,0.0,0.0,11,5.4545,1.2136,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11
5,0.0,,1,0.4117,,1,0.3119,,1,0.5,,1,0.0,,1,6.0,,1,0.0311,,1,0.0,,1,196.55,,1,0.8133,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
7,0.0,,1,0.419,,1,0.3406,,1,1.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,89.033,,1,0.8194,,1,0.0,,1,0.0,,1,3.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
10,0.0,0.0,2,0.6446,0.1331,2,0.7389,0.192,2,0.625,0.1768,2,0.0,0.0,2,4.5,2.1213,2,0.0672,0.0076,2,0.0,0.0,2,98.9634,2.5203,2,0.817,0.0265,2,0.0,0.0,2,0.0,0.0,2,4.5,2.1213,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2
13,0.0833,0.1179,2,0.5116,0.3234,2,0.5463,0.4294,2,0.6708,0.0059,2,0.5,0.7071,2,6.0,0.0,2,0.062,0.0326,2,0.0,0.0,2,56.9873,7.8683,2,0.8131,0.0121,2,0.0,0.0,2,0.0,0.0,2,6.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2
15,0.0,0.0,2,0.6253,0.1364,2,0.709,0.1555,2,0.6667,0.2357,2,0.0,0.0,2,4.5,2.1213,2,0.0827,0.0195,2,0.0,0.0,2,93.7683,8.3647,2,0.8161,0.0053,2,0.0,0.0,2,0.0,0.0,2,4.5,2.1213,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2
16,0.0152,0.0503,11,0.6076,0.1025,11,0.6533,0.1646,11,0.6591,0.1685,11,0.0909,0.3015,11,5.1818,1.4013,11,0.0296,0.0329,11,0.0,0.0,11,202.0388,246.8628,11,0.8155,0.0131,11,0.0,0.0,11,0.0,0.0,11,5.1818,1.4013,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11
17,0.0,,1,0.4247,,1,0.377,,1,0.5,,1,0.0,,1,6.0,,1,0.0061,,1,0.0,,1,117.8389,,1,0.8254,,1,0.0,,1,0.0,,1,6.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1
