,posts_exact_match_rate,posts_exact_match_rate,posts_exact_match_rate,posts_semantic_similarity,posts_semantic_similarity,posts_semantic_similarity,posts_content_accuracy,posts_content_accuracy,posts_content_accuracy,posts_format_compliance,posts_format_compliance,posts_format_compliance,posts_exact_matches,posts_exact_matches,posts_exact_matches,posts_total_samples,posts_total_samples,posts_total_samples,replies_mean_rouge1,replies_mean_rouge1,replies_mean_rouge1,replies_mean_bleu,replies_mean_bleu,replies_mean_bleu,replies_mean_perplexity,replies_mean_perplexity,replies_mean_perplexity,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_bertscore_f1,replies_mean_combined,replies_mean_combined,replies_mean_combined,replies_std_combined,replies_std_combined,replies_std_combined,replies_total_samples,replies_total_samples,replies_total_samples,overall_mean_combined_score,overall_mean_combined_score,overall_mean_combined_score,overall_std_combined_score,overall_std_combined_score,overall_std_combined_score,overall_best_score,overall_best_score,overall_best_score,overall_worst_score,overall_worst_score,overall_worst_score
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,6,0.511,0.19,6,0.5211,0.2628,6,0.5222,0.0743,6,0.0,0.0,6,3.0,0.0,6,0.0517,0.0355,6,0.0,0.0,6,82.1557,47.114,6,0.7929,0.0261,6,0.0365,0.0197,6,0.0214,0.0111,6,3.0,0.0,6,0.3292,0.0955,6,0.3092,0.0786,6,0.7691,0.1857,6,0.0132,0.0173,6
5,0.0,0.0,2,0.5971,0.0516,2,0.7127,0.0972,2,0.725,0.3889,2,0.0,0.0,2,3.0,0.0,2,0.0256,0.0362,2,0.0,0.0,2,240.1619,259.7648,2,0.8108,0.018,2,0.0199,0.0281,2,0.002,0.0028,2,3.0,0.0,2,0.3826,0.0307,2,0.3735,0.0068,2,0.8596,0.0035,2,0.0172,0.0244,2
7,0.0,,1,0.6325,,1,0.722,,1,0.5,,1,0.0,,1,3.0,,1,0.0562,,1,0.0,,1,99.6908,,1,0.8317,,1,0.0447,,1,0.0164,,1,3.0,,1,0.4124,,1,0.3736,,1,0.8913,,1,0.0317,,1
8,0.0,0.0,2,0.4969,0.0442,2,0.4795,0.0403,2,1.0,0.0,2,0.0,0.0,2,3.0,0.0,2,0.0161,0.0227,2,0.0,0.0,2,140.067,106.7499,2,0.7928,0.0198,2,0.0161,0.0227,2,0.0227,0.0321,2,3.0,0.0,2,0.3488,0.0199,2,0.3508,0.0385,2,0.873,0.0224,2,0.0,0.0,2
9,0.0,,1,0.5676,,1,0.651,,1,1.0,,1,0.0,,1,3.0,,1,0.0539,,1,0.0,,1,61.2796,,1,0.7759,,1,0.0539,,1,0.0454,,1,3.0,,1,0.3917,,1,0.3551,,1,0.8571,,1,0.0,,1
11,0.0,0.0,9,0.5723,0.2295,9,0.6378,0.3235,9,0.737,0.2208,9,0.0,0.0,9,3.0,0.0,9,0.0754,0.0656,9,0.005,0.0149,9,168.8052,150.9204,9,0.8264,0.0277,9,0.0589,0.0614,9,0.0297,0.0343,9,3.0,0.0,9,0.386,0.13,9,0.3446,0.1045,9,0.8209,0.2132,9,0.03,0.0431,9
13,0.0,0.0,6,0.6306,0.1198,6,0.7318,0.2034,6,0.7778,0.2018,6,0.0,0.0,6,3.0,0.0,6,0.0669,0.0673,6,0.0,0.0,6,231.4231,151.4654,6,0.8209,0.0436,6,0.0487,0.0473,6,0.0175,0.0188,6,3.0,0.0,6,0.4133,0.0542,6,0.3701,0.0375,6,0.8675,0.0443,6,0.03,0.0396,6
14,0.0,0.0,4,0.4981,0.1177,4,0.5007,0.1917,4,0.8667,0.1633,4,0.0,0.0,4,3.0,0.0,4,0.0243,0.038,4,0.0,0.0,4,294.0496,286.2284,4,0.8212,0.0398,4,0.0192,0.0281,4,0.0065,0.0078,4,3.0,0.0,4,0.3354,0.07,4,0.3439,0.0385,4,0.864,0.0553,4,0.012,0.024,4
18,0.0,,1,0.588,,1,0.6806,,1,0.5,,1,0.0,,1,3.0,,1,0.0145,,1,0.0,,1,227.4345,,1,0.8273,,1,0.0145,,1,0.0205,,1,3.0,,1,0.3693,,1,0.3638,,1,0.8387,,1,0.0,,1
19,0.0,,1,0.5865,,1,0.6235,,1,0.5,,1,0.0,,1,3.0,,1,0.0682,,1,0.0,,1,38.8798,,1,0.8106,,1,0.0565,,1,0.0233,,1,3.0,,1,0.4033,,1,0.3573,,1,0.9143,,1,0.0351,,1
